DAY,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
85,2018-05-15,1075.0,1083.65,1051.5,1054.0,1055.35,15397.0,164.32
86,2018-05-14,1082.0,1087.95,1064.0,1065.5,1066.45,17672.0,189.0
87,2018-05-11,1087.5,1091.0,1071.15,1091.0,1083.2,16119.0,174.56
88,2018-05-10,1090.0,1091.85,1084.0,1086.5,1085.55,12712.0,138.11
89,2018-05-09,1100.0,1103.95,1090.0,1091.2,1093.45,9761.0,107.0
90,2018-05-08,1105.2,1118.9,1099.0,1101.0,1104.35,12620.0,139.75
91,2018-05-07,1090.5,1122.05,1082.05,1106.0,1108.15,21116.0,231.65
92,2018-05-04,1105.0,1105.0,1090.0,1091.0,1093.55,12282.0,134.74
93,2018-05-03,1114.05,1115.0,1089.2,1094.5,1095.0,19044.0,209.47
94,2018-05-02,1119.0,1131.95,1111.25,1116.9,1114.25,18861.0,211.43
95,2018-04-30,1134.4,1134.4,1119.0,1119.1,1124.35,18615.0,209.45
96,2018-04-27,1132.65,1134.95,1122.0,1127.0,1125.8,16572.0,186.87
97,2018-04-26,1127.0,1138.0,1125.0,1128.6,1130.45,16390.0,185.25
98,2018-04-25,1131.0,1145.9,1122.85,1124.5,1125.45,34914.0,395.38
99,2018-04-24,1137.95,1144.5,1130.0,1131.3,1130.8,30039.0,340.99
100,2018-04-23,1132.0,1149.0,1122.35,1133.0,1131.3,39907.0,452.59
101,2018-04-20,1141.2,1145.9,1118.0,1121.1,1125.55,34939.0,395.94
102,2018-04-19,1138.0,1153.4,1129.1,1141.2,1141.05,50624.0,577.52
103,2018-04-18,1154.0,1155.0,1125.0,1127.0,1130.0,41959.0,478.99
104,2018-04-17,1157.0,1164.0,1142.0,1142.0,1146.4,61793.0,713.75
105,2018-04-16,1125.0,1159.9,1124.0,1147.0,1147.9,135266.0,1553.54
106,2018-04-13,1115.0,1150.0,1105.1,1123.0,1123.05,144882.0,1634.09
107,2018-04-12,1096.0,1098.05,1080.1,1083.2,1086.15,54719.0,595.56
108,2018-04-11,1102.0,1106.0,1095.0,1095.0,1097.3,39956.0,438.8
109,2018-04-10,1109.8,1110.0,1092.05,1103.9,1102.3,53653.0,590.92
110,2018-04-09,1100.5,1112.0,1100.5,1103.7,1104.45,59514.0,657.73
111,2018-04-06,1103.5,1118.85,1100.05,1102.0,1102.85,73013.0,808.3
112,2018-04-05,1122.0,1131.25,1109.5,1111.0,1113.95,74994.0,836.92
113,2018-04-04,1130.0,1140.0,1115.0,1115.05,1115.9,81682.0,919.28
114,2018-04-03,1141.0,1147.0,1126.35,1129.0,1128.6,57565.0,652.47
115,2018-04-02,1127.7,1155.0,1118.0,1150.0,1149.25,176365.0,2019.81
116,2018-03-28,1152.0,1184.95,1121.0,1125.0,1132.85,1692143.0,19590.26
